customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
32,Marion,Vanichkin,Female,17,1995/4/20,Legal Assistant,Manufacturing,Affluent Customer,N,0???? 1???? 2???? 3???? 4???? 5???? 6???? 7???? 8???? 9???? ?,No,4
33,Ernst,Hacon,Male,44,1957/6/25,Product Engineer,n/a,Affluent Customer,N,<script>alert('hi')</script>,Yes,11
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20
35,Margaretha,Strettle,Female,40,1963/9/28,Information Systems Manager,Health,High Net Worth,N,!@#$%^&*(),Yes,16
36,Lurette,Stonnell,Female,33,1977/11/9,VP Quality Control,n/a,Affluent Customer,N,"<>?:""{}|_+",No,22
37,Laurie,Dwerryhouse,Female,46,1985/12/22,Social Worker,Health,High Net Worth,N,?????????????????,No,16
38,Cordi,Merman,Female,37,1955/10/29,Senior Cost Accountant,Financial Services,Affluent Customer,N,"''''""",No,20
39,Hunfredo,Smalley,Male,5,1979/4/16,Assistant Media Planner,Entertainment,Mass Customer,N,',No,22
40,Tomasine,Jerche,Female,91,1981/10/27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,??H????????e? ?????????w?h????o???????? ???????W??????a?????i??????????t??????s???? ??????B????????e??h????????i?????????????n?d?????? ???????????T????????h??????e????? ?????W???????a???????,No,14
41,Basilius,Coupe,Male,64,1976/4/14,Food Chemist,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16
42,Chiquita,Durnall,Female,24,1977/3/28,Accountant III,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,18
43,Indira,Belt,Female,38,1983/3/1,Director of Sales,Retail,Mass Customer,N,??????,No,5
44,Neron,Verick,Male,63,1981/10/18,Assistant Media Planner,Entertainment,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17
45,Trace,Woodhead,Male,64,1975/9/23,Senior Financial Analyst,Financial Services,Mass Customer,N,?????????,No,8
46,Kaila,Allin,Female,98,1972/2/26,,n/a,Affluent Customer,N,?????????,Yes,15
47,Matthew,Jeaycock,Male,51,1992/10/22,Registered Nurse,Health,Affluent Customer,N,<script>alert('hi')</script>,No,2
48,Rebbecca,Casone,Female,46,1975/8/15,Biostatistician II,n/a,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8
49,Nolly,Ownsworth,Male,63,1994/1/26,VP Quality Control,n/a,Affluent Customer,N,`?????????????????????,No,1
50,Whitby,Schapero,Male,38,1980/10/1,Account Executive,Manufacturing,Mass Customer,N,0/0,Yes,16
51,Fidelio,Dilke,Male,68,1959/12/5,Computer Systems Analyst II,Retail,Mass Customer,N,?????????????????,No,18
52,Curran,Bentson,Male,57,1988/6/22,,Financial Services,Mass Customer,N,01-Feb,Yes,13
53,Agnella,Gocke,Female,22,1954/4/18,Software Test Engineer II,Financial Services,Mass Customer,N,1.00E+00,No,16
54,Loralyn,Wonfor,Femal,2,1966/7/24,Sales Associate,Property,Mass Customer,N,-0.5,Yes,18
55,Linc,Jillions,Male,48,1956/9/24,Paralegal,Financial Services,Affluent Customer,N,Z????????A????????L??????????G??O?????,Yes,7
56,Reese,Ensor,Male,44,1996/7/4,VP Sales,Property,Mass Customer,N,?,Yes,4
57,Abba,Masedon,M,87,1988/6/13,Chief Design Engineer,n/a,Mass Customer,N,1.00E+02,Yes,13
58,Dalenna,Pinnock,Female,26,1967/7/4,Office Assistant III,Financial Services,Affluent Customer,N,1;DROP TABLE users,Yes,17
59,Niki,Heathcote,Male,60,2000/2/8,Physical Therapy Assistant,n/a,High Net Worth,N,-$1.00,No,3
60,Nadiya,Champerlen,Female,18,1970/2/4,,Manufacturing,Mass Customer,N,?,No,10
61,Kacey,Rowbottom,Female,47,1959/11/29,Help Desk Operator,Property,High Net Worth,N,-1,No,13
62,Sorcha,Roggers,Female,38,1979/7/6,,IT,Mass Customer,N,(???????????????? ?????,Yes,22
63,Ebony,Zini,Female,58,1965/7/3,Senior Quality Engineer,Retail,Mass Customer,N,00??$-,Yes,16
64,Gerek,Yve,Male,73,1978/3/25,Legal Assistant,IT,High Net Worth,N,??????,No,4
65,Yale,Tanser,Male,21,1976/4/1,Information Systems Manager,Financial Services,Affluent Customer,N,1/0,Yes,15
66,Anselm,Gawne,Male,46,2002/3/11,Account Executive,Argiculture,High Net Worth,N,?????(???????,No,1
67,Vernon,,Male,67,1960/6/14,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18
68,Dahlia,Eddoes,Female,37,1974/4/21,Information Systems Manager,n/a,Affluent Customer,N,?????????????????,No,9
69,Heidi,Milner,Female,16,1969/6/22,Web Developer II,n/a,Mass Customer,N,0/0,No,6
70,Foster,Vannoort,Male,78,1993/2/27,Paralegal,Financial Services,Affluent Customer,N,?,No,8
71,Hoyt,Glavias,Male,30,1985/1/27,Research Associate,Argiculture,Affluent Customer,N,?????(???????,Yes,12
72,Sammy,Cheese,Male,93,1972/2/13,Administrative Officer,Manufacturing,Affluent Customer,N,$1.00,Yes,16
73,Minette,Worters,Female,16,1960/5/27,Teacher,n/a,Affluent Customer,N,???,Yes,5
74,Pansy,Kiddie,Female,94,1969/6/19,,n/a,Mass Customer,N,??(???????)??:*:,Yes,6
75,Dollie,Sealy,Female,28,1978/7/15,VP Product Management,Property,Mass Customer,N,",???:*:????( ?? ? ?? )???:*:????",No,19
76,Rea,Hasser,Female,20,1978/1/23,Statistician II,Retail,High Net Worth,N,??,Yes,18
77,Shermie,Andrin,Male,79,1989/9/12,Automation Specialist IV,Financial Services,Mass Customer,N,1;DROP TABLE users,No,7
78,Arch,Van der Kruis,Male,37,1985/3/12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,-1.00E+02,No,8
79,Tybi,Silliman,Female,76,1968/10/2,Account Executive,Manufacturing,Mass Customer,N,?????????????????,No,18
80,Pablo,Small,Male,11,1978/4/24,Data Coordiator,Entertainment,Mass Customer,N,nil,No,13
81,Bee,Blazewicz,Female,58,1986/9/4,,Health,High Net Worth,N,??,No,13
82,Gleda,Cokely,Female,93,1965/6/28,Software Test Engineer III,Property,High Net Worth,N,?????????????????,No,19
83,Kerr,Simmell,Male,97,1967/2/26,Internal Auditor,IT,Mass Customer,N,?? ? ? ?,Yes,18
84,Rich,Mathiasen,Male,78,1958/2/7,Accountant III,n/a,Mass Customer,N,???????? ?????????,Yes,14
85,Kane,Tixall,Male,1,1958/5/21,Analyst Programmer,n/a,Mass Customer,N,NIL,No,8
86,Job,Sleney,Male,75,1989/3/4,Occupational Therapist,Health,High Net Worth,N,1,Yes,7
87,Fields,Langdon,Male,78,1974/4/23,Editor,Financial Services,Mass Customer,N,"__??(,_,*)",No,8
88,Malynda,Tumber,Female,41,1966/2/3,Help Desk Operator,Property,High Net Worth,N,??????,Yes,7
89,Benedicto,Hoxey,Male,74,1967/1/22,Speech Pathologist,Health,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,Yes,14
90,Cary,Garron,Male,76,1984/11/12,Quality Control Specialist,Manufacturing,Mass Customer,N,!@#$%^&*(),No,11
91,Dylan,Meaker,Male,69,1955/2/24,Senior Financial Analyst,Financial Services,Affluent Customer,N,0???? 1???? 2???? 3???? 4???? 5???? 6???? 7???? 8???? 9???? ?,Yes,17
92,Jodee,Judkins,Female,98,1980/9/11,Recruiting Manager,Health,Mass Customer,N,???,No,12
93,Gordon,Gowar,Male,63,1976/7/16,Project Manager,Retail,Mass Customer,N,0/0,Yes,10
94,Wallache,Simchenko,Male,33,1974/8/7,Civil Engineer,Manufacturing,Mass Customer,N,(???????????????? ?????,No,21
95,Nomi,Mallinder,Female,67,1960/12/25,Software Engineer III,Manufacturing,Affluent Customer,N,"??? ???? ??????? ????????????????, ?????????? ??????????????? ??? ????. ???? ????? ??????????? ????????? ????. ????? ???????????? ?????????????-???????? ??? ??????. ????????? ??????????? ???? ???, ?????? ?",Yes,8
96,Heath,Olford,Male,33,1968/8/31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,?????????,No,15
97,Arne,Corain,Male,16,1979/7/27,Community Outreach Specialist,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,10
98,Allianora,Babalola,Female,19,1956/3/17,Safety Technician IV,Health,Mass Customer,N,,No,7
99,Reggie,Mulliner,Male,97,1998/6/13,VP Accounting,Financial Services,Mass Customer,N,??H????????e? ?????????w?h????o???????? ???????W??????a?????i??????????t??????s???? ??????B????????e??h????????i?????????????n?d?????? ???????????T????????h??????e????? ?????W???????a???????,No,3
100,Tripp,Steed,Male,80,1968/5/11,General Manager,Financial Services,Mass Customer,N,?? ? ? ? ? ? ? ??,Yes,4
101,Goran,Kwietek,Male,83,1975/12/29,Nurse Practicioner,Manufacturing,High Net Worth,N,<img src=x onerror=alert('hi') />,No,11
102,Langsdon,Tranfield,Male,51,1956/11/27,Quality Control Specialist,Manufacturing,Affluent Customer,N,???????????test???????????? ??????????,No,16
103,Ethyl,Runham,Female,49,1997/4/21,Product Engineer,Financial Services,Affluent Customer,N,???????????????? ????????????????,Yes,4
104,Odille,Panketh,Female,40,1978/6/6,Automation Specialist II,Health,Mass Customer,N,1;DROP TABLE users,Yes,9
105,Maribeth,Pristnor,Female,25,2001/9/17,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,1
106,Glyn,,Male,54,1966/7/3,Software Test Engineer III,Health,High Net Worth,N,?????????????????,Yes,18
107,Pris,Stallebrass,Female,97,1990/7/1,Nurse Practicioner,Financial Services,Mass Customer,N,?????(???????,Yes,9
108,Kayle,Mingaud,Female,4,1994/3/14,,n/a,High Net Worth,N,??? ???? ??? ??? ??? ???,No,3
109,Cody,Blabey,Male,16,1978/12/11,Marketing Assistant,n/a,Affluent Customer,N,1.00E+02,Yes,4
110,Sascha,St. Quintin,Male,23,2000/7/31,,Financial Services,Affluent Customer,N,T???????o? ??i????????n???v??????o???????ke?????????????? ?t???????????h????????????e?????????? ?????????h?????????i??????????v???e??????????-m??i?n??????????d????????????? ?????????r???e?p??r????????e???????s?,No,1
111,Cele,Evason,Female,65,1993/8/29,Analyst Programmer,n/a,Mass Customer,N,??????????????,No,2
112,Shena,Parren,Female,88,1975/8/12,Marketing Manager,Retail,High Net Worth,N,?????????????????,No,12
113,Gage,Nickless,Male,67,1956/5/6,Staff Scientist,n/a,Mass Customer,N,(???? ? ????),No,20
114,Sunny,Swindells,Female,10,1985/10/23,Teacher,Entertainment,Affluent Customer,N,-1.00E+02,No,8
115,Alberik,Mereweather,Male,77,1981/12/21,Account Executive,Health,Mass Customer,N,null,No,18
116,Scottie,Swiffen,Male,49,1999/2/5,Assistant Professor,Manufacturing,Affluent Customer,N,?? ? ? ? ? ? ? ??,Yes,2
117,Nance,Suttling,Female,75,1982/2/23,Marketing Manager,Manufacturing,Mass Customer,N,T???????o? ??i????????n???v??????o???????ke?????????????? ?t???????????h????????????e?????????? ?????????h?????????i??????????v???e??????????-m??i?n??????????d????????????? ?????????r???e?p??r????????e???????s?,No,15
118,Prentice,Pearmain,Male,43,1959/11/12,Budget/Accounting Analyst IV,n/a,High Net Worth,N,(???????????????? ?????,No,19
119,Willey,Chastanet,Male,9,1981/12/4,Associate Professor,n/a,High Net Worth,N,,Yes,9
120,Sloan,Wagg,Male,80,1978/9/2,Legal Assistant,Financial Services,High Net Worth,N,??????,Yes,4
121,Myles,Pauncefort,Male,82,1957/10/2,Graphic Designer,Manufacturing,Mass Customer,N,???????,No,15
122,Colver,Itter,Male,87,1979/4/19,Quality Control Specialist,Financial Services,Mass Customer,N,??nb??l? ?u???? ???olop ?? ???oq?l ?n ?unp??p???u?? ??od???? po??sn??? op p?s '???l? ?u???s??d??p? ??n?????suo? '????? ???s ??olop ??nsd?? ?????o??,Yes,12
123,Almeta,Kalinsky,Female,85,1988/12/3,Analyst Programmer,Financial Services,High Net Worth,N,1.00E+96,No,15
124,Kath,Cunney,Female,27,1995/5/3,Administrative Assistant II,Health,High Net Worth,N,?????????????????,Yes,5
125,Darrelle,Antoniewski,Female,94,1960/3/17,Computer Systems Analyst II,Property,Mass Customer,N,???????????????? ????????????????,No,16
126,Norman,Cliff,Male,53,1992/10/15,Administrative Officer,Health,Mass Customer,N,??(???????)??:*:,Yes,3
127,Merrili,Whitear,Female,81,1974/12/3,Compensation Analyst,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/passwd%00,No,19
128,Isidro,Cypler,Male,73,1977/7/17,Systems Administrator III,Property,Mass Customer,N,??,Yes,12
129,Weidar,Silkstone,Male,64,1985/7/20,Financial Advisor,Financial Services,High Net Worth,N,"__??(,_,*)",Yes,19
130,Raddy,Delete,Male,32,1997/7/18,Chemical Engineer,Manufacturing,Mass Customer,N,-1.00E+02,No,1
131,Jana,Renyard,Female,57,1964/10/16,Administrative Officer,Retail,High Net Worth,N,"??????????????????, ?????????? ???????????, ????? ?????????????????, ???????? ????????????",No,8
132,Celesta,Willavoys,Female,5,1963/7/7,Web Designer I,Manufacturing,Mass Customer,N,`?????????????????????,Yes,9
133,Eldridge,Fiddeman,Male,12,1977/6/13,VP Accounting,Financial Services,Mass Customer,N,",./;'[]\-=",Yes,16
134,Merna,McCulloch,Female,34,1997/8/1,Legal Assistant,Telecommunications,Affluent Customer,N,??????????????????????,Yes,5
135,Rosalia,Sigart,Female,18,1975/1/18,Internal Auditor,IT,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,3
136,Mel,Bennet,Male,46,1973/5/26,Senior Developer,Manufacturing,High Net Worth,N,(??????????????? ?????),Yes,7
137,Vaughn,Artin,Male,27,1987/11/21,Office Assistant II,Property,High Net Worth,N,1'; DROP TABLE users--,No,10
138,Onofredo,Franc,Male,5,1985/4/28,Recruiter,Financial Services,Affluent Customer,N,??(???????)??:*:,Yes,13
139,Gar,,Male,1,1964/7/28,Operator,Telecommunications,Affluent Customer,N,-1.00E+02,No,4
140,Morrie,Flaxon,Male,9,1994/5/20,Programmer Analyst III,Manufacturing,Mass Customer,N,1/0,No,2
141,Townsend,Trobe,Male,67,1954/6/25,Teacher,Financial Services,High Net Worth,N,`?????????????????????,Yes,10
142,Bentley,Fortesquieu,Male,57,1967/8/7,Quality Engineer,Health,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,No,17
143,Kendall,Figg,Male,19,1957/9/1,Operator,Argiculture,Mass Customer,N,?? ? ? ?,Yes,11
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,,No,
145,Filippo,Ferrara,Male,33,1997/7/21,Account Executive,Financial Services,Mass Customer,N,NIL,No,4
146,Ricoriki,Matlock,Male,34,1985/4/8,Quality Control Specialist,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,8
147,Rea,Pattrick,Female,32,1973/12/6,Analog Circuit Design manager,Health,Mass Customer,N,?? ? ? ? ? ? ? ?,Yes,10
148,Jaquith,Maffey,Female,69,1981/5/8,Programmer Analyst III,n/a,Mass Customer,N,?????????????????,Yes,5
149,Drucy,Kausche,Female,41,1995/1/31,Research Nurse,Health,Mass Customer,N,1/0,Yes,1
150,Bradly,Crosse,Male,6,1983/8/23,Cost Accountant,Financial Services,Affluent Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,17
151,Donnie,Brimson,Male,36,1965/1/31,Marketing Manager,Manufacturing,Mass Customer,N,???????????(??????????)?????????,Yes,13
152,Stephana,Cardew,Female,5,1981/3/3,Compensation Analyst,Financial Services,Mass Customer,N,00??$-,No,16
153,Lorilyn,Walshe,Female,73,1977/7/28,Assistant Media Planner,Entertainment,Mass Customer,N,???????? ?????????,Yes,12
154,Faydra,Dulieu,Female,90,1958/2/13,Junior Executive,n/a,Mass Customer,N,,No,11
155,Orran,Bogges,Male,4,1985/12/28,Quality Engineer,Manufacturing,Mass Customer,N,"??? ???? ??????? ????????????????, ?????????? ??????????????? ??? ????. ???? ????? ??????????? ????????? ????. ????? ???????????? ?????????????-???????? ??? ??????. ????????? ??????????? ???? ???, ?????? ?",No,10
156,Shayla,Rimmington,Female,23,1979/9/9,Cost Accountant,Financial Services,Mass Customer,N,T???????o? ??i????????n???v??????o???????ke?????????????? ?t???????????h????????????e?????????? ?????????h?????????i??????????v???e??????????-m??i?n??????????d????????????? ?????????r???e?p??r????????e???????s?,Yes,11
157,Chad,Houtby,Male,97,1974/11/23,Financial Advisor,Financial Services,Affluent Customer,N,1.00E+02,No,16
158,Hamlin,Odams,Male,99,1984/9/3,Internal Auditor,n/a,Affluent Customer,N,1.00E+02,No,5
159,Arin,Matskevich,Male,90,1987/5/12,Research Nurse,Health,Affluent Customer,N,??(???????)??:*:,No,13
160,Wake,Durning,Male,5,1964/7/15,Registered Nurse,Health,Mass Customer,N,?????I?????n???v????ok??????i?????????n??????????g?????????? ??t???h???e???? ??????f??????e??e??????l???i??????n????????g? ??o?????f????? ???????c?????????h????????a??????o??????s????????????.??,No,18
161,Tadd,Bloss,Male,49,1976/1/21,,n/a,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,16
162,Port,Acuna,Male,90,1979/8/12,Nurse Practicioner,IT,Mass Customer,N,??????,No,15
163,Kessia,Helder,Female,58,1976/9/6,Librarian,Entertainment,High Net Worth,N,??????,Yes,14
164,Aarika,Van Vuuren,Female,55,1999/8/7,Senior Editor,Retail,Affluent Customer,N,NIL,Yes,1
165,Aldon,Roelofs,Male,61,1984/3/25,Administrative Officer,Argiculture,Mass Customer,N,??????,Yes,12
166,Elston,Oleszczak,Male,54,1955/6/12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,??,No,6
167,Nathalie,Tideswell,Female,95,1969/10/27,,Health,High Net Worth,N,-1,Yes,17
168,Reggie,Broggetti,U,8,,General Manager,IT,Affluent Customer,N,,Yes,
169,Alfy,Bruhnke,Male,20,1957/10/19,Data Coordiator,Telecommunications,High Net Worth,N,??????????????????????,Yes,5
170,Jammal,Gever,Male,80,1975/6/2,Pharmacist,Health,High Net Worth,N,"??? ???? ??????? ????????????????, ?????????? ??????????????? ??? ????. ???? ????? ??????????? ????????? ????. ????? ???????????? ?????????????-???????? ??? ??????. ????????? ??????????? ???? ???, ?????? ?",No,21
171,Halli,Davidoff,Female,62,1970/12/4,Assistant Manager,Manufacturing,Mass Customer,N,?????(???????,No,10
172,Hilton,Carney,Male,54,1988/9/12,Editor,Manufacturing,Affluent Customer,N,NIL,Yes,6
173,Ebba,Hanselmann,Female,99,1997/1/2,General Manager,Health,Affluent Customer,N,???????,No,1
174,Catie,Tosspell,Female,93,1989/11/26,Food Chemist,Health,Mass Customer,N,?,No,12
175,Templeton,Hambrook,Male,36,1975/11/28,Quality Engineer,Manufacturing,Affluent Customer,N,<svg><script>0<1>alert('XSS')</script>,No,5
176,Angelo,Clayal,Male,39,1992/4/13,Accountant I,Property,Mass Customer,N,<script>alert('hi')</script>,No,10
177,Ondrea,Pablos,Female,25,1989/11/9,Professor,Financial Services,High Net Worth,N,???????? ?????????,No,4
178,Matthieu,Bertelmot,Male,2,1967/4/3,,n/a,Affluent Customer,N,1.00E+02,No,8
179,Esteban,Sewill,Male,23,1966/5/11,Environmental Tech,Manufacturing,High Net Worth,N,??????????????,Yes,6
180,Trisha,Neasham,Female,16,1971/9/17,Web Designer III,Argiculture,Affluent Customer,N,??H????????e? ?????????w?h????o???????? ???????W??????a?????i??????????t??????s???? ??????B????????e??h????????i?????????????n?d?????? ???????????T????????h??????e????? ?????W???????a???????,No,14
181,Pavla,Braunle,Female,49,1982/11/21,Senior Editor,Manufacturing,Mass Customer,N,-1.00E+02,No,9
182,Lydon,Dahlman,Male,99,1992/11/20,Sales Associate,Financial Services,Affluent Customer,N,??nb??l? ?u???? ???olop ?? ???oq?l ?n ?unp??p???u?? ??od???? po??sn??? op p?s '???l? ?u???s??d??p? ??n?????suo? '????? ???s ??olop ??nsd?? ?????o??,Yes,7
183,Dannie,Hissie,Female,7,1997/8/5,Geologist III,Retail,Affluent Customer,N,../../../../../../../../../../../etc/hosts,No,3
184,Nappie,Paolo,Male,40,1971/12/13,Marketing Manager,Manufacturing,High Net Worth,N,?,Yes,7
185,Crosby,Walcot,Male,80,1979/12/13,,Property,Mass Customer,N,??????,Yes,13
186,Mireielle,Jeppe,Female,46,1974/5/6,Software Test Engineer I,Financial Services,Mass Customer,N,-1.00E+02,No,3
187,Pincas,Ather,Male,97,1954/1/28,Structural Engineer,n/a,Mass Customer,N,(???????????????? ?????,No,11
188,Audry,Seine,Female,54,1975/6/22,Safety Technician II,Property,High Net Worth,N,',Yes,13
189,Umberto,Torricella,Male,73,1981/7/19,Safety Technician I,Financial Services,Affluent Customer,N,??????????????,No,10
190,Hayley,Girardengo,Female,42,1979/2/4,Registered Nurse,Health,Affluent Customer,N,-1,No,10
191,Christopher,Heining,Male,22,1960/4/27,Help Desk Operator,n/a,Affluent Customer,N,?? ? ? ?,Yes,6
192,Goldi,Osler,Female,2,1978/11/19,Junior Executive,Health,Mass Customer,N,"""'",Yes,8
193,Foss,Hardes,Male,13,1964/7/22,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",Yes,12
194,Ursala,Ferrai,Female,4,1974/11/16,Web Developer III,Financial Services,Affluent Customer,N,???????????(??????????)?????????,No,10
195,Talyah,Rylatt,Female,34,1958/11/14,Project Manager,Manufacturing,Mass Customer,N,??????????,No,6
196,Swen,Odhams,Male,90,1966/2/22,Programmer Analyst II,Manufacturing,High Net Worth,N,???????????test???????????? ??????????,No,6
197,Avis,,Female,32,1977/1/27,,n/a,High Net Worth,N,,No,5
198,Vanya,Gumb,Female,82,1981/11/29,Assistant Media Planner,Entertainment,Mass Customer,N,,No,16
199,Verla,Alven,Female,61,1978/2/13,Junior Executive,Health,Mass Customer,N,?? ? ? ?,Yes,21
200,Hube,Weald,Male,7,1957/2/4,Physical Therapy Assistant,Property,Affluent Customer,N,??????,Yes,19
201,Salem,Huie,Male,45,1966/4/20,Design Engineer,Manufacturing,Mass Customer,N,T???????o? ??i????????n???v??????o???????ke?????????????? ?t???????????h????????????e?????????? ?????????h?????????i??????????v???e??????????-m??i?n??????????d????????????? ?????????r???e?p??r????????e???????s?,Yes,11
202,Audie,Pillinger,Female,38,1963/6/24,Librarian,Entertainment,Affluent Customer,N,-1,Yes,16
203,Donovan,Conry,Male,71,1964/1/13,Senior Quality Engineer,Argiculture,Mass Customer,N,??? ???? ??? ??? ??? ???,Yes,11
204,Thorny,Hackworth,Male,56,1976/10/1,Editor,Financial Services,Mass Customer,N,",???:*:????( ?? ? ?? )???:*:????",No,5
205,Rolfe,Kellard,Male,18,1958/12/1,Administrative Assistant II,Financial Services,Mass Customer,N,??,Yes,6
206,Mari,Chevolleau,Female,98,1954/7/19,Statistician I,n/a,Mass Customer,N,?????????????????,Yes,14
207,Adena,Whyman,Female,9,1994/8/10,,n/a,Mass Customer,N,-1.00E+02,No,7
208,Rutter,Excell,Male,57,1994/10/31,Office Assistant III,Property,High Net Worth,N,??nb??l? ?u???? ???olop ?? ???oq?l ?n ?unp??p???u?? ??od???? po??sn??? op p?s '???l? ?u???s??d??p? ??n?????suo? '????? ???s ??olop ??nsd?? ?????o??,No,5
209,Udall,Bellard,Male,9,1957/8/28,Analog Circuit Design manager,n/a,Affluent Customer,N,???????????????? ????????????????,Yes,6
210,Albrecht,Thomasson,Male,50,1963/11/18,Assistant Manager,Property,Mass Customer,N,test??test??,No,18
211,Beitris,,Female,6,1974/3/4,VP Marketing,Manufacturing,Mass Customer,N,-0.5,Yes,5
212,Nanice,Ellse,Female,21,2001/11/19,Desktop Support Technician,IT,Affluent Customer,N,??????,No,1
213,Lockwood,Exroll,Male,13,1996/5/14,Actuary,Financial Services,High Net Worth,N,?,Yes,6
214,Jeramie,Cellier,Male,82,1957/11/29,Food Chemist,Health,Mass Customer,N,??????,No,6
