first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Bambi,Cogger,Female,51,12-07-1990,1990,31,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25
Aurie,Rhead,Female,78,28-07-1962,1962,59,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
Farris,Skettles,Male,38,03-07-1965,1965,56,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375
Sharline,Abyss,Female,11,18-03-1960,1960,61,,n/a,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375
Nowell,Preddy,Male,29,23-07-1985,1985,36,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375
Lacy,Drance,Female,27,05-02-1978,1978,43,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375
Padraig,Snel,Male,89,08-11-1970,1970,51,Staff Accountant II,n/a,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375
Malorie,Votier,Female,90,29-05-1990,1990,31,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375
Shepperd,Ricards,Male,28,27-09-1967,1967,54,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375
Daryl,Pauncefort,Female,12,18-06-1979,1979,42,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375
Norina,Blakeway,Female,60,11-02-1980,1980,41,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375
My,Chaston,Male,92,16-07-1966,1966,55,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375
Isak,Bergstram,Male,14,08-03-2001,2001,20,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625
Grannie,Cracker,Male,28,06-03-1949,1949,72,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625
Welby,Lourenco,Male,6,27-12-1975,1975,46,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375
Glenn,Casbourne,Female,4,08-08-1981,1981,40,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375
Nadiya,Balasini,Female,40,05-11-1950,1950,71,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
Tyne,Coate,Female,82,15-07-1965,1965,56,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
Christie,Anders,Male,38,02-10-1969,1969,52,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
Agnella,Capener,Female,58,21-05-1969,1969,52,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
Bernardine,Delmonti,Female,39,31-03-1971,1971,50,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
Daisy,Spowart,Female,60,18-12-1967,1967,54,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
Denys,Minshall,Female,30,26-12-1961,1961,60,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875
Archibald,Blessed,Male,61,10-02-1969,1969,52,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875
Feodor,Englishby,Male,54,14-08-1961,1961,60,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125
Skippie,Yearsley,Male,6,04-09-1956,1956,65,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
Bill,,Female,74,24-04-1963,1963,58,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
Tessa,Friese,Female,89,24-10-1976,1976,45,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125
Roseanne,Caruth,Female,16,25-05-1957,1957,64,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875
Tedra,Goodbanne,Female,4,15-01-1978,1978,43,Senior Quality Engineer,n/a,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875
Roberto,Harme,Male,27,11-06-1951,1951,70,Environmental Tech,n/a,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875
Nichole,Leisman,Male,37,07-08-1986,1986,35,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875
Amil,Ennor,Female,23,04-08-1995,1995,26,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875
Shawna,Hinrichsen,Female,60,27-08-1969,1969,52,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125
Fonsie,Levane,Male,96,10-07-1951,1951,70,Account Representative III,n/a,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125
